Income Group,Qualification Type,Number of People,Percentage in Income Group
"$1 - $41,599",Certificate,687613,42.96
"$1 - $41,599",Diploma,317933,19.86
"$1 - $41,599",Bachelor Degree,425088,26.56
"$1 - $41,599",Graduate Diploma,48275,3.02
"$1 - $41,599",Postgraduate Degree,121628,7.60
"$41,600 - $90,999",Certificate,1420179,41.77
"$41,600 - $90,999",Diploma,643109,18.92
"$41,600 - $90,999",Bachelor Degree,1193891,35.12
"$41,600 - $90,999",Graduate Diploma,142431,4.19
"$41,600 - $90,999",Postgraduate Degree,389338,11.45
"$91,000 - $155,999",Certificate,454820,22.79
"$91,000 - $155,999",Diploma,271236,13.59
"$91,000 - $155,999",Bachelor Degree,782718,39.22
"$91,000 - $155,999",Graduate Diploma,133290,6.68
"$91,000 - $155,999",Postgraduate Degree,353518,17.72
"$156,000 or more",Certificate,114699,13.62
"$156,000 or more",Diploma,88479,10.51
"$156,000 or more",Bachelor Degree,369807,43.93
"$156,000 or more",Graduate Diploma,49810,5.92
"$156,000 or more",Postgraduate Degree,219041,26.02
